"dname"	"task"	"irep"	"kfname"	"acc"	"label"
"302"	"eubm"	"age"	2	"dot_wken_hb_mult"	0.52	"mult weight (hb)"
"303"	"eubm"	"age"	3	"dot_wken_hb_mult"	0.58	"mult weight (hb)"
"304"	"eubm"	"age"	4	"dot_wken_hb_mult"	0.62	"mult weight (hb)"
"305"	"eubm"	"age"	5	"dot_wken_hb_mult"	0.69	"mult weight (hb)"
"306"	"eubm"	"age"	6	"dot_wken_hb_mult"	0.57	"mult weight (hb)"
"307"	"eubm"	"age"	7	"dot_wken_hb_mult"	0.58	"mult weight (hb)"
"308"	"eubm"	"age"	8	"dot_wken_hb_mult"	0.66	"mult weight (hb)"
"309"	"eubm"	"age"	9	"dot_wken_hb_mult"	0.58	"mult weight (hb)"
"310"	"eubm"	"age"	10	"dot_wken_hb_mult"	0.63	"mult weight (hb)"
"311"	"eubm"	"age"	11	"dot_wken_hb_mult"	0.65	"mult weight (hb)"
"312"	"eubm"	"age"	12	"dot_wken_hb_mult"	0.62	"mult weight (hb)"
"313"	"eubm"	"age"	13	"dot_wken_hb_mult"	0.59	"mult weight (hb)"
"314"	"eubm"	"age"	14	"dot_wken_hb_mult"	0.67	"mult weight (hb)"
"315"	"eubm"	"age"	15	"dot_wken_hb_mult"	0.62	"mult weight (hb)"
"316"	"eubm"	"age"	16	"dot_wken_hb_mult"	0.61	"mult weight (hb)"
"317"	"eubm"	"age"	17	"dot_wken_hb_mult"	0.56	"mult weight (hb)"
"318"	"eubm"	"age"	18	"dot_wken_hb_mult"	0.63	"mult weight (hb)"
"319"	"eubm"	"age"	19	"dot_wken_hb_mult"	0.6	"mult weight (hb)"
"320"	"eubm"	"age"	20	"dot_wken_hb_mult"	0.6	"mult weight (hb)"
"321"	"eubm"	"age"	21	"dot_wken_hb_mult"	0.61	"mult weight (hb)"
"322"	"eubm"	"age"	22	"dot_wken_hb_mult"	0.64	"mult weight (hb)"
